4.79798918, 2.70053098, 
5.86599616, 1.59224604, 
5.28966729, 2.23360397, 
0.33621221, 5.43866237, 
2.26880579, 3.99602098, 
2.47286492, 4.45037333, 
0.57206817, 3.19008851, 
3.32049837, 6.42150984, 
3.58183466, 5.73319929, 
1.20511073, 6.67244683, 
1.54778223, 0.12484806, 
3.04161338, 5.14047066, 
6.32743525, 2.92546772, 
5.18553577, 0.71142144, 
4.43674163, 6.15160044, 
1.76374295, 1.84527904, 
6.19022181, 0.47783351, 
6.74163925, 1.32904750, 
3.99022398, 3.78763044, 
0.71067149, 4.60804593, 
